Hergang;Fotos?;Kunden-Nr.;SPARTE;CLAIMSTATUS;TOTAL SCHADENAUFWAND
Hagel: Motorhaube;Ja;11031;MFK;geschlossen;2930.9
Tochter hat neue Lederjacke der Freundin zerrissen. Hat sie an der Chilbi am Arm gezogen und Ärmel ist dabei zerrissen;Ja;11028;PH;geschlossen;50
Türe an anderem Fahrzeug angekommen auf Parkplatz;Ja;11013;;;
Mauer touchiert;Ja;11007;MFK;geschlossen;5259.95
Beim rückwärts aus dem Parkplatz fahren Stossstange des dahinter parkierten Autos touchiert;Ja;11004;MFH;geschlossen;2936.5
H3: VN hat Betonbank touchiert;Ja;11003;MFH;geschlossen;235
Pfosten beim parkieren touchiert.;Ja;10992;;;
Hund hatte Durchfall und hat Wollteppich der Schwägerin vollgekotet;Ja;10981;PH;geschlossen;313.5
VN hat einen Pfosten touchiert in der Tiefgarage / Aussenspiegel re;Ja;10980;MFK;geschlossen;558.65
mit Anhängerkupplung an anderem Fzg angekommen, StSt hi beschädigt;Ja;10976;MFH;geschlossen;4452.4
Lampenschirm beim Reinigen umgestossen. Lampe ist zerbrochen.;Ja;10970;HR;geschlossen;949
Handy auf den Boden gefallen;Ja;10968;HR;geschlossen;445
PS - Delle Beifahrertüre;Ja;10935;MFK;geschlossen;745.45
Beim rü parkieren Betonpfeiler touchiert. Beschädigung hinten rechts.;Ja;10924;;;
PS vo re;Ja;10923;MFK;geschlossen;2548.15
PS am Kotflügel vo li;Ja;10921;MFK;geschlossen;1146.8
Kollision mit unbekanntem Gegenstand - StSt hi re;Ja;10911;MFK;geschlossen;2581.6
Fzg hinten beschädigt - beim Einparken an Mauer angekommen;Ja;10893;MFK;geschlossen;1160.05
an anderem Fzg angekommen beim Parken, StSt hi li;Ja;10885;MFH;geschlossen;1597.25
Lack zerkratzt;Ja;10870;;;
Treppenhaus beim Umzug beschädigt ;Ja;10865;PH;geschlossen;467.5
Pfosten wurde touchiert. Türe hi li wurde beschädigt;Ja;10839;MFK;geschlossen;2118.95
an Hauswand und erhöhtem Bordstein angekommen - stark eingedrückt hinten;Ja;10824;MFK;geschlossen;3513.3
MacBook Pro ist auf den Boden gefallen und beschädigt.;Ja;10812;HR;geschlossen;650
Gestänge des Sonnenschirms durch Wind gebrochen. Sturmereignis ausgewiesen. ;Ja;10752;;;
